level_0,level_1,level_2,linearity,planarity,scattering,omnivariance,sum_of_eigenvalues,anisotropy,eigenentropy,change_of_curvature,residual,processed,new_classification
75,63,4,0.5070511329339116,0.3181957794086125,0.1747530876574759,0.2535137691916859,0.9572919639294512,0.8252469123425241,0.9065210439392598,0.104786761904613,0.7575460423474603,True,Trees
83,26,8,0.2790049543837009,0.1498662485312328,0.5711287970850663,1.1616557351711037,3.578986608016659,0.4288712029149337,-0.7270101360639818,0.2491701305335957,1.2489107621423976,True,Trees
18,6,5,0.2051575618852392,0.7911433685758172,0.0036990695389436,0.1034190553470612,1.2983641562039985,0.9963009304610564,0.5698022016951395,0.0020567051264606,0.8446562859663853,True,Buildings
30,52,3,0.3429499030658338,0.6540163689471215,0.0030337279870446,0.1686089026498213,2.2240889172865996,0.9969662720129552,-0.2572214903577923,0.0018274546992761,1.1559689520043537,True,Terrain
95,60,3,0.418773816930533,0.417087703916306,0.164138479153161,0.31230832694487,1.1929380308066933,0.835861520846839,0.8722528856996948,0.0940425131239563,0.8267771804374249,True,Trees
36,28,4,0.0165876656407098,0.9785007473797366,0.0049115869795535,0.2201736872098432,2.589802959798006,0.9950884130204464,-0.629023646231917,0.0024702147003523,1.140049821300277,True,Terrain
86,69,3,0.3460081676986447,0.4313353935337545,0.2226564387676007,0.9229390138478684,3.2922036591100325,0.7773435612323992,-0.7764969215980042,0.1186458017733784,1.321525824987162,True,Trees
83,36,5,0.3604882842758427,0.4163562222432359,0.2231554934809214,1.0375599986020207,3.698251652167091,0.7768445065190785,-1.3042683674013524,0.1198042744179494,1.4077814455465518,True,Trees
80,64,3,0.5025654093758797,0.0024819938215577,0.4949525968025626,1.0054427090994282,3.196179829224094,0.5050474031974374,-0.3949475327030711,0.2484218930567561,1.2670426467978138,True,Trees
53,8,3,0.0076209516215375,0.9921013789809549,0.0002776693975077,0.0865739385944555,2.651049245618923,0.9997223306024924,-0.7437139429477271,0.0001393463284622,1.1532113834288549,True,Terrain
68,61,2,0.0203241755924204,0.9712608437621292,0.0084149806454503,0.2732320073727701,2.688990607985064,0.9915850193545496,-0.7304643434732148,0.0042326943135909,1.1610635614795628,True,Terrain
